,step_cat,status,num_agents,step
529,196,combatant,25,196
530,196,neutral,123,196
531,196,sympathetic,156,196
533,197,anti-violence,98,197
534,197,combatant,21,197
535,197,neutral,121,197
536,197,sympathetic,158,197
538,198,anti-violence,100,198
539,198,combatant,17,198
540,198,neutral,117,198
541,198,sympathetic,160,198
543,199,anti-violence,99,199
544,199,combatant,23,199
545,199,neutral,114,199
546,199,sympathetic,157,199
548,2,anti-violence,50,2
549,2,combatant,2,2
550,2,neutral,45,2
551,2,sympathetic,47,2
553,20,anti-violence,104,20
554,20,combatant,2,20
555,20,neutral,51,20
556,20,sympathetic,8,20
558,200,anti-violence,98,200
559,200,combatant,14,200
560,200,neutral,114,200
561,200,sympathetic,164,200
563,21,anti-violence,116,21
564,21,neutral,47,21
565,21,sympathetic,5,21
567,22,anti-violence,117,22
568,22,combatant,1,22
569,22,neutral,47,22
570,22,sympathetic,5,22
572,23,anti-violence,122,23
573,23,combatant,1,23
574,23,neutral,44,23
575,23,sympathetic,4,23
577,24,anti-violence,126,24
578,24,neutral,43,24
579,24,sympathetic,4,24
581,25,anti-violence,131,25
582,25,neutral,39,25
583,25,sympathetic,5,25
585,26,anti-violence,135,26
586,26,combatant,1,26
587,26,neutral,37,26
588,26,sympathetic,5,26
590,27,anti-violence,139,27
591,27,neutral,34,27
592,27,sympathetic,4,27
594,28,anti-violence,140,28
595,28,neutral,34,28
596,28,sympathetic,4,28
598,29,anti-violence,141,29
599,29,neutral,35,29
600,29,sympathetic,4,29
602,3,anti-violence,53,3
603,3,neutral,44,3
604,3,sympathetic,45,3
606,30,anti-violence,142,30
607,30,combatant,1,30
608,30,neutral,39,30
609,30,sympathetic,3,30
611,31,anti-violence,143,31
612,31,combatant,2,31
613,31,neutral,40,31
614,31,sympathetic,4,31
616,32,anti-violence,143,32
617,32,combatant,2,32
618,32,neutral,41,32
619,32,sympathetic,4,32
621,33,anti-violence,143,33
622,33,combatant,2,33
623,33,neutral,43,33
624,33,sympathetic,6,33
626,34,anti-violence,145,34
627,34,combatant,1,34
628,34,neutral,43,34
629,34,sympathetic,7,34
631,35,anti-violence,148,35
632,35,combatant,2,35
633,35,neutral,42,35
634,35,sympathetic,7,35
636,36,anti-violence,150,36
637,36,combatant,1,36
638,36,neutral,42,36
639,36,sympathetic,7,36
641,37,anti-violence,153,37
642,37,neutral,40,37
643,37,sympathetic,6,37
645,38,anti-violence,158,38
646,38,combatant,3,38
647,38,neutral,37,38
648,38,sympathetic,6,38
650,39,anti-violence,164,39
651,39,neutral,34,39
652,39,sympathetic,8,39
654,4,anti-violence,55,4
655,4,combatant,1,4
656,4,neutral,46,4
657,4,sympathetic,43,4
659,40,anti-violence,169,40
660,40,neutral,29,40
661,40,sympathetic,8,40
663,41,anti-violence,172,41
664,41,neutral,29,41
665,41,sympathetic,8,41
667,42,anti-violence,178,42
668,42,combatant,2,42
669,42,neutral,27,42
670,42,sympathetic,7,42
672,43,anti-violence,181,43
673,43,neutral,24,43
674,43,sympathetic,7,43
676,44,anti-violence,182,44
677,44,combatant,1,44
678,44,neutral,24,44
679,44,sympathetic,7,44
681,45,anti-violence,185,45
682,45,combatant,1,45
683,45,neutral,24,45
684,45,sympathetic,8,45
686,46,anti-violence,194,46
687,46,neutral,17,46
688,46,sympathetic,6,46
690,47,anti-violence,204,47
691,47,neutral,10,47
692,47,sympathetic,3,47
694,48,anti-violence,204,48
695,48,neutral,11,48
696,48,sympathetic,3,48
698,49,anti-violence,204,49
699,49,combatant,2,49
700,49,neutral,13,49
701,49,sympathetic,5,49
703,5,anti-violence,59,5
704,5,neutral,45,5
705,5,sympathetic,42,5
707,50,anti-violence,208,50
708,50,combatant,1,50
709,50,neutral,17,50
710,50,sympathetic,3,50
712,51,anti-violence,215,51
713,51,combatant,3,51
714,51,neutral,12,51
715,51,sympathetic,4,51
717,52,anti-violence,216,52
718,52,combatant,1,52
719,52,neutral,13,52
720,52,sympathetic,4,52
722,53,anti-violence,217,53
723,53,neutral,14,53
724,53,sympathetic,5,53
726,54,anti-violence,221,54
727,54,combatant,1,54
728,54,neutral,12,54
729,54,sympathetic,6,54
731,55,anti-violence,221,55
732,55,neutral,12,55
733,55,sympathetic,6,55
735,56,anti-violence,226,56
736,56,neutral,11,56
737,56,sympathetic,6,56
739,57,anti-violence,228,57
740,57,combatant,2,57
741,57,neutral,10,57
742,57,sympathetic,10,57
744,58,anti-violence,228,58
745,58,neutral,12,58
746,58,sympathetic,11,58
748,59,anti-violence,229,59
749,59,combatant,2,59
750,59,neutral,15,59
751,59,sympathetic,8,59
753,6,anti-violence,62,6
754,6,combatant,1,6
755,6,neutral,44,6
756,6,sympathetic,42,6
758,60,anti-violence,229,60
759,60,combatant,1,60
760,60,neutral,17,60
761,60,sympathetic,8,60
763,61,anti-violence,232,61
764,61,combatant,1,61
765,61,neutral,17,61
766,61,sympathetic,12,61
768,62,anti-violence,232,62
769,62,combatant,1,62
770,62,neutral,19,62
771,62,sympathetic,12,62
773,63,anti-violence,233,63
774,63,combatant,1,63
775,63,neutral,20,63
776,63,sympathetic,11,63
778,64,anti-violence,234,64
779,64,combatant,1,64
780,64,neutral,21,64
781,64,sympathetic,11,64
783,65,anti-violence,237,65
784,65,combatant,2,65
785,65,neutral,22,65
786,65,sympathetic,12,65
788,66,anti-violence,242,66
789,66,neutral,25,66
790,66,sympathetic,12,66
792,67,anti-violence,244,67
793,67,neutral,23,67
794,67,sympathetic,12,67
796,68,anti-violence,251,68
797,68,combatant,2,68
798,68,neutral,19,68
799,68,sympathetic,11,68
801,69,anti-violence,253,69
802,69,combatant,4,69
803,69,neutral,17,69
804,69,sympathetic,11,69
806,7,anti-violence,64,7
807,7,neutral,43,7
808,7,sympathetic,41,7
810,70,anti-violence,253,70
811,70,neutral,18,70
812,70,sympathetic,10,70
814,71,anti-violence,255,71
815,71,combatant,1,71
816,71,neutral,19,71
817,71,sympathetic,9,71
819,72,anti-violence,260,72
820,72,combatant,2,72
821,72,neutral,19,72
822,72,sympathetic,10,72
824,73,anti-violence,261,73
825,73,combatant,1,73
826,73,neutral,23,73
827,73,sympathetic,13,73
829,74,anti-violence,261,74
830,74,combatant,2,74
831,74,neutral,24,74
832,74,sympathetic,12,74
834,75,anti-violence,267,75
835,75,combatant,1,75
836,75,neutral,26,75
837,75,sympathetic,13,75
839,76,anti-violence,272,76
840,76,neutral,29,76
841,76,sympathetic,13,76
843,77,anti-violence,273,77
844,77,neutral,32,77
845,77,sympathetic,14,77
847,78,anti-violence,276,78
848,78,neutral,35,78
849,78,sympathetic,16,78
851,79,anti-violence,275,79
852,79,neutral,36,79
853,79,sympathetic,17,79
855,8,anti-violence,66,8
856,8,neutral,47,8
857,8,sympathetic,35,8
859,80,anti-violence,277,80
860,80,combatant,2,80
861,80,neutral,40,80
862,80,sympathetic,18,80
864,81,anti-violence,279,81
865,81,combatant,2,81
866,81,neutral,41,81
867,81,sympathetic,15,81
869,82,anti-violence,281,82
870,82,combatant,4,82
871,82,neutral,42,82
872,82,sympathetic,16,82
874,83,anti-violence,283,83
875,83,combatant,4,83
876,83,neutral,40,83
877,83,sympathetic,20,83
879,84,anti-violence,282,84
880,84,combatant,5,84
881,84,neutral,44,84
882,84,sympathetic,21,84
884,85,anti-violence,284,85
885,85,combatant,4,85
886,85,neutral,45,85
887,85,sympathetic,21,85
889,86,anti-violence,287,86
890,86,combatant,3,86
891,86,neutral,43,86
892,86,sympathetic,22,86
894,87,anti-violence,288,87
895,87,combatant,1,87
896,87,neutral,45,87
897,87,sympathetic,23,87
899,88,anti-violence,290,88
900,88,combatant,1,88
901,88,neutral,49,88
902,88,sympathetic,27,88
904,89,anti-violence,292,89
905,89,combatant,3,89
906,89,neutral,50,89
907,89,sympathetic,26,89
909,9,anti-violence,66,9
910,9,neutral,52,9
911,9,sympathetic,31,9
913,90,anti-violence,293,90
914,90,combatant,5,90
915,90,neutral,52,90
916,90,sympathetic,26,90
918,91,anti-violence,291,91
919,91,combatant,5,91
920,91,neutral,54,91
921,91,sympathetic,22,91
923,92,anti-violence,290,92
924,92,combatant,4,92
925,92,neutral,53,92
926,92,sympathetic,24,92
928,93,anti-violence,293,93
929,93,combatant,1,93
930,93,neutral,52,93
931,93,sympathetic,25,93
933,94,anti-violence,291,94
934,94,combatant,4,94
935,94,neutral,53,94
936,94,sympathetic,28,94
938,95,anti-violence,291,95
939,95,combatant,3,95
940,95,neutral,61,95
941,95,sympathetic,28,95
943,96,anti-violence,292,96
944,96,combatant,1,96
945,96,neutral,60,96
946,96,sympathetic,27,96
948,97,anti-violence,287,97
949,97,combatant,1,97
950,97,neutral,63,97
951,97,sympathetic,32,97
953,98,anti-violence,286,98
954,98,combatant,3,98
955,98,neutral,61,98
956,98,sympathetic,36,98
958,99,anti-violence,286,99
959,99,combatant,5,99
960,99,neutral,62,99
961,99,sympathetic,35,99
